iter	RMSE
0	0.5344773288
1	0.5273919596
2	0.5197434512
3	0.5120286505
4	0.5053318274
5	0.4972991782
6	0.4908894226
7	0.4837219626
8	0.4778667609
9	0.4742090266
10	0.4682445181
11	0.4637417914
12	0.4584162854
13	0.4543419316
14	0.4508541571
15	0.4466951365
16	0.4425262171
17	0.4390825118
18	0.4356932795
19	0.4325474181
20	0.4292579594
21	0.4255670207
22	0.4226107219
23	0.4189229773
24	0.4159741308
25	0.4131965496
26	0.4104289273
27	0.4074022139
28	0.4054157354
29	0.4035265323
30	0.4010991215
31	0.3989512859
32	0.3966887936
33	0.3944439771
34	0.392172941
35	0.3904710648
36	0.3880955725
37	0.3863847732
38	0.3845676324
39	0.3829593857
40	0.3813318363
41	0.3794454889
42	0.3781201648
43	0.3766118333
44	0.3749267553
45	0.3736548831
46	0.3720503105
47	0.371129472
48	0.3697244776
49	0.3685905431
50	0.3673137508
51	0.3663099815
52	0.3652582968
53	0.3639348741
54	0.362782843
55	0.3617091734
56	0.3606912475
57	0.3596810181
58	0.3583386467
59	0.3571325503
60	0.3562096269
61	0.3552296282
62	0.354040777
63	0.3530196129
64	0.351862427
65	0.3505237801
66	0.3493337557
67	0.3483717422
68	0.3474788334
69	0.3467267922
70	0.346041719
71	0.3454443054
72	0.3448592101
73	0.3440059411
74	0.3430722547
75	0.3419960582
76	0.341199736
77	0.3405841257
78	0.3399094747
79	0.3389128963
80	0.3383113116
81	0.3374909482
82	0.3368536221
83	0.3361202985
84	0.3352951468
85	0.3343882717
86	0.3338110484
87	0.3334139156
88	0.3327376103
89	0.3319214819
90	0.3312114162
91	0.330682287
92	0.3299559939
93	0.3293971798
94	0.3285478698
95	0.3280933391
96	0.3275828648
97	0.3270109922
98	0.3265100504
99	0.3260835471
100	0.3256413906
101	0.3252488736
102	0.3248247989
103	0.3243110819
104	0.3238398162
105	0.3233363642
106	0.3228735815
107	0.3222564451
108	0.3218107251
109	0.3212453784
110	0.3207086284
111	0.3202781863
112	0.319819794
113	0.3194073789
114	0.3189255094
115	0.3184400279
116	0.3179211281
117	0.3172873171
118	0.3169128893
119	0.3165244833
120	0.3161802027
121	0.3156227226
122	0.3151185406
123	0.3146128537
124	0.3141731867
125	0.3137715582
126	0.3134304663
127	0.3130380484
128	0.3127213122
129	0.3124040521
130	0.3121314055
131	0.3117065647
132	0.3113839461
133	0.3109942133
134	0.3106095782
135	0.3102719451
136	0.3100230352
137	0.3096653876
138	0.3091881845
