iter	Passed	Remaining
0	4	4224
1	6	3345
2	10	3352
3	11	2964
4	14	2813
5	16	2724
6	18	2599
7	20	2493
8	21	2402
9	22	2275
10	25	2262
11	26	2212
12	28	2174
13	31	2222
14	34	2240
15	36	2254
16	40	2318
17	41	2287
18	43	2260
19	48	2381
20	51	2395
21	53	2385
22	55	2363
23	57	2334
24	59	2307
25	61	2315
26	64	2309
27	65	2284
28	67	2261
29	69	2242
30	72	2253
31	74	2242
32	76	2250
33	79	2257
34	81	2239
35	83	2227
36	85	2212
37	86	2194
38	88	2178
39	90	2163
40	92	2166
41	94	2162
42	96	2148
43	98	2138
44	100	2122
45	101	2109
46	103	2097
47	105	2084
48	108	2096
49	110	2094
50	112	2087
51	113	2075
52	115	2062
53	117	2051
54	118	2039
55	120	2028
56	123	2035
57	125	2034
58	127	2026
59	128	2015
60	130	2005
61	131	1995
62	133	1985
63	135	1978
64	137	1971
65	139	1969
66	141	1969
67	143	1960
68	144	1951
69	146	1943
70	147	1934
71	151	1955
72	154	1958
73	156	1957
74	158	1949
75	159	1941
76	162	1943
77	163	1937
78	165	1930
79	167	1927
80	172	1960
81	175	1962
82	178	1968
83	198	2169
84	223	2406
85	255	2713
86	286	3010
87	299	3104
88	303	3103
89	305	3093
90	309	3091
91	338	3339
92	341	3326
93	364	3516
94	369	3521
95	399	3762
96	436	4064
97	468	4314
98	473	4312
99	492	4432
100	495	4410
101	503	4432
102	506	4410
103	510	4396
104	516	4398
105	518	4372
106	520	4344
107	522	4318
108	525	4292
109	527	4267
110	531	4257
111	533	4233
112	536	4207
113	537	4180
114	540	4159
115	543	4145
116	547	4130
117	550	4113
118	552	4092
119	554	4068
120	556	4044
121	560	4032
122	562	4012
123	565	3993
124	567	3970
125	569	3948
126	571	3927
127	576	3924
128	580	3920
129	584	3909
130	588	3903
131	592	3897
132	595	3881
133	601	3886
134	606	3887
135	612	3890
136	615	3874
137	617	3855
138	623	3860
139	626	3850
140	629	3833
141	631	3815
142	633	3797
143	637	3789
144	639	3772
145	641	3753
146	643	3736
147	646	3718
148	648	3702
149	652	3695
150	654	3679
151	656	3662
152	658	3646
153	661	3634
154	664	3622
155	669	3622
156	673	3618
157	676	3606
158	681	3603
159	684	3594
160	686	3577
161	688	3559
162	689	3542
163	691	3525
164	693	3509
165	696	3499
166	698	3483
167	700	3467
168	701	3450
169	703	3435
170	705	3419
171	707	3404
172	708	3388
173	711	3378
174	713	3364
175	715	3352
176	718	3339
177	719	3324
178	722	3312
179	724	3300
180	729	3299
181	731	3288
182	736	3288
183	742	3291
184	745	3283
185	748	3274
186	750	3262
187	752	3250
188	754	3239
189	758	3233
190	760	3220
191	762	3207
192	763	3194
193	766	3184
194	769	3177
195	774	3175
196	776	3165
197	779	3155
198	781	3144
199	785	3141
200	788	3136
201	793	3134
202	795	3121
203	796	3109
204	798	3096
205	800	3084
206	801	3071
207	804	3064
208	806	3053
209	808	3041
210	810	3030
211	812	3020
212	814	3009
213	816	2999
214	819	2991
215	823	2988
216	825	2978
217	827	2967
218	828	2955
219	830	2945
220	832	2934
221	834	2924
222	837	2917
223	839	2906
224	840	2895
225	842	2884
226	843	2873
227	845	2862
228	846	2851
229	848	2840
230	850	2832
231	853	2824
232	854	2813
233	856	2803
234	858	2793
235	859	2782
236	861	2772
237	862	2763
238	864	2753
239	867	2746
240	869	2737
241	870	2727
242	872	2718
243	874	2708
244	875	2698
245	877	2689
246	879	2679
247	880	2670
248	883	2664
249	885	2655
250	886	2646
251	888	2636
252	889	2627
253	892	2620
254	893	2611
255	895	2603
256	898	2598
257	900	2589
258	901	2580
259	903	2572
260	905	2563
261	906	2554
262	908	2546
263	910	2537
264	913	2532
265	915	2525
266	916	2516
267	918	2508
268	919	2499
269	921	2491
270	923	2483
271	929	2488
272	932	2481
273	933	2473
274	935	2465
275	936	2457
276	938	2449
277	940	2441
278	941	2433
279	944	2428
280	946	2422
281	948	2414
282	950	2407
283	951	2399
284	953	2392
285	955	2386
286	962	2392
287	966	2388
288	967	2380
289	969	2373
290	971	2365
291	972	2358
292	974	2351
293	977	2347
294	979	2341
295	981	2335
296	983	2328
297	988	2328
298	990	2323
299	993	2318
300	996	2314
301	998	2308
302	1000	2301
303	1002	2294
304	1003	2287
305	1005	2280
306	1009	2279
307	1011	2272
308	1013	2265
309	1014	2258
310	1016	2251
311	1018	2245
312	1019	2238
313	1021	2231
314	1024	2227
315	1025	2220
316	1027	2213
317	1029	2207
318	1030	2200
319	1032	2193
320	1034	2187
321	1035	2181
322	1038	2176
323	1040	2171
324	1042	2165
325	1044	2158
326	1045	2152
327	1047	2145
328	1049	2139
329	1050	2133
330	1052	2127
331	1055	2123
332	1057	2117
333	1058	2111
334	1060	2105
335	1062	2099
336	1063	2092
337	1065	2086
338	1067	2080
339	1069	2075
340	1071	2070
341	1073	2064
342	1074	2058
343	1076	2052
344	1077	2046
345	1079	2040
346	1081	2034
347	1083	2029
348	1085	2024
349	1087	2019
350	1088	2013
351	1090	2007
352	1092	2001
353	1093	1996
354	1095	1990
355	1097	1985
356	1099	1979
357	1101	1975
358	1103	1969
359	1104	1963
360	1106	1958
361	1108	1952
362	1109	1947
363	1111	1941
364	1112	1936
365	1115	1932
366	1117	1927
367	1118	1921
368	1120	1916
369	1122	1910
370	1123	1905
371	1125	1900
372	1127	1894
373	1128	1889
374	1131	1885
375	1133	1881
376	1135	1875
377	1136	1870
378	1138	1865
379	1139	1859
380	1141	1854
381	1144	1851
382	1149	1852
383	1152	1848
384	1153	1842
385	1155	1837
386	1157	1832
387	1158	1827
388	1161	1824
389	1163	1820
390	1165	1816
391	1168	1811
392	1170	1807
393	1174	1805
394	1177	1803
395	1180	1800
396	1183	1796
397	1185	1792
398	1186	1787
399	1188	1782
400	1190	1777
401	1193	1775
402	1195	1771
403	1197	1766
404	1199	1761
405	1200	1756
406	1202	1751
407	1203	1746
408	1205	1742
409	1208	1738
410	1210	1734
411	1212	1730
412	1213	1725
413	1215	1720
414	1216	1715
415	1218	1710
416	1220	1706
417	1222	1702
418	1225	1698
419	1226	1694
420	1228	1689
421	1230	1685
422	1231	1680
423	1233	1676
424	1235	1671
425	1237	1667
426	1239	1663
427	1241	1659
428	1243	1655
429	1245	1651
430	1247	1646
431	1249	1642
432	1251	1638
433	1253	1634
434	1256	1631
435	1257	1627
436	1259	1623
437	1261	1618
438	1263	1614
439	1265	1610
440	1267	1606
441	1269	1602
442	1272	1599
443	1273	1595
444	1275	1591
445	1277	1586
446	1279	1582
447	1281	1578
448	1283	1574
449	1285	1571
450	1287	1567
451	1289	1563
452	1291	1559
453	1293	1555
454	1295	1551
455	1297	1547
456	1299	1543
457	1301	1540
458	1303	1536
459	1305	1532
460	1307	1528
461	1309	1524
462	1311	1520
463	1313	1516
464	1315	1512
465	1318	1510
466	1320	1506
467	1321	1502
468	1323	1498
469	1325	1495
470	1327	1491
471	1329	1487
472	1332	1484
473	1336	1482
474	1338	1479
475	1341	1476
476	1343	1472
477	1345	1468
478	1347	1465
479	1349	1461
480	1351	1458
481	1353	1454
482	1356	1451
483	1358	1448
484	1362	1447
485	1365	1444
486	1369	1442
487	1371	1439
488	1373	1435
489	1375	1431
490	1380	1431
491	1383	1428
492	1385	1424
493	1386	1420
494	1388	1416
495	1390	1413
496	1392	1409
497	1395	1406
498	1397	1403
499	1399	1399
500	1401	1395
501	1403	1391
502	1404	1388
503	1406	1384
504	1408	1380
505	1411	1377
506	1413	1374
507	1415	1370
508	1417	1367
509	1418	1363
510	1420	1359
511	1422	1355
512	1424	1352
513	1427	1349
514	1429	1346
515	1431	1342
516	1433	1338
517	1435	1335
518	1436	1331
519	1438	1328
520	1441	1325
521	1443	1321
522	1445	1318
523	1447	1314
524	1449	1311
525	1450	1307
526	1452	1303
527	1454	1300
528	1457	1297
529	1459	1294
530	1461	1290
531	1463	1287
532	1465	1283
533	1467	1280
534	1469	1276
535	1471	1273
536	1473	1270
537	1475	1267
538	1477	1263
539	1479	1260
540	1480	1256
541	1482	1252
542	1484	1249
543	1485	1245
544	1488	1242
545	1490	1239
546	1492	1235
547	1494	1232
548	1495	1228
549	1497	1225
550	1499	1221
551	1500	1218
552	1502	1214
553	1505	1212
554	1507	1208
555	1509	1205
556	1511	1201
557	1512	1198
558	1514	1194
559	1516	1191
560	1517	1187
561	1521	1185
562	1524	1183
563	1526	1180
564	1529	1177
565	1531	1174
566	1533	1171
567	1536	1168
568	1538	1165
569	1540	1162
570	1543	1159
571	1545	1156
572	1549	1154
573	1552	1152
574	1554	1149
575	1556	1146
576	1558	1142
577	1560	1139
578	1562	1135
579	1564	1132
580	1566	1130
581	1569	1127
582	1570	1123
583	1572	1120
584	1574	1116
585	1575	1113
586	1577	1110
587	1580	1107
588	1582	1103
589	1584	1100
590	1585	1097
591	1587	1093
592	1589	1090
593	1590	1087
594	1592	1084
595	1595	1081
596	1597	1078
597	1599	1075
598	1600	1071
599	1602	1068
600	1604	1065
601	1606	1061
602	1607	1058
603	1610	1055
604	1612	1052
605	1614	1049
606	1616	1046
607	1618	1043
608	1619	1040
609	1621	1036
610	1623	1033
611	1625	1030
612	1627	1027
613	1630	1024
614	1631	1021
615	1633	1018
616	1634	1014
617	1637	1012
618	1639	1008
619	1640	1005
620	1643	1002
621	1645	999
622	1647	996
623	1648	993
624	1650	990
625	1652	987
626	1654	984
627	1656	981
628	1658	978
629	1660	975
630	1661	971
631	1663	968
632	1665	965
633	1666	962
634	1668	959
635	1670	955
636	1672	953
637	1674	950
638	1676	946
639	1677	943
640	1679	940
641	1681	937
642	1682	934
643	1684	931
644	1686	928
645	1688	925
646	1690	922
647	1692	919
648	1694	916
649	1695	913
650	1697	909
651	1698	906
652	1700	903
653	1702	900
654	1705	898
655	1707	895
656	1710	893
657	1712	890
658	1715	887
659	1717	884
660	1719	882
661	1721	879
662	1723	876
663	1726	873
664	1728	870
665	1730	867
666	1735	866
667	1738	863
668	1740	861
669	1742	858
670	1743	855
671	1745	851
672	1747	848
673	1749	845
674	1751	843
675	1753	840
676	1755	837
677	1756	834
678	1758	831
679	1760	828
680	1761	825
681	1763	822
682	1765	819
683	1767	816
684	1769	813
685	1771	810
686	1772	807
687	1774	804
688	1776	801
689	1777	798
690	1779	795
691	1781	793
692	1783	790
693	1785	787
694	1787	784
695	1788	781
696	1790	778
697	1792	775
698	1793	772
699	1796	769
700	1798	766
701	1799	764
702	1801	761
703	1803	758
704	1804	755
705	1806	752
706	1808	749
707	1809	746
708	1811	743
709	1813	740
710	1815	737
711	1817	735
712	1818	732
713	1820	729
714	1821	726
715	1823	723
716	1825	720
717	1827	717
718	1829	715
719	1831	712
720	1833	709
721	1834	706
722	1836	703
723	1837	700
724	1839	697
725	1841	695
726	1843	692
727	1845	689
728	1847	686
729	1848	683
730	1850	680
731	1852	678
732	1853	675
733	1855	672
734	1857	669
735	1859	667
736	1861	664
737	1863	661
738	1864	658
739	1866	655
740	1867	652
741	1869	649
742	1870	647
743	1872	644
744	1875	641
745	1876	639
746	1878	636
747	1880	633
748	1881	630
749	1883	627
750	1884	624
751	1886	622
752	1888	619
753	1890	616
754	1892	614
755	1894	611
756	1897	608
757	1900	606
758	1903	604
759	1905	601
760	1907	599
761	1909	596
762	1911	593
763	1913	591
764	1915	588
765	1919	586
766	1923	584
767	1926	581
768	1928	579
769	1929	576
770	1931	573
771	1934	571
772	1937	568
